#Мой рабочий для отладки
#Код_слоя	КК	ХЛ	Нужно	Можно	Графика	Тип	Номер	Цвет	Ранг	Приоритет	Наименование объекта
$
3	31335200	U	,	1,9,	0	0	0	0	0	0	Пороги
3	31335200	2	,	1,9,	0	0	0	0	0	0	Пороги
3	31335200	3	,	1,9,	0	0	0	0	0	0	Пороги
3	31410000	2	15,32,36,	9,35,102,	0	0	0	0	0	0	Реки
3	31410000	3	15,32,36,	9,35,102,	0	0	0	0	0	0	Реки
3	31420000	2	15,35,36,	9,	0	0	0	0	0	0	Ручьи
3	31431000	2	3,15,32,40,	9,35,47,97,	0	0	0	0	0	0	Каналы
3	31431100	2	,	9,	0	0	0	0	0	0	Каналы морские
3	31510000	1	4,	,	0	0	0	0	0	0	Отметки урезов воды
3	31521000	2	,	28,102,	0	0	0	0	0	0	Направление основного течения
3	31522000	U	,	,	0	0	0	0	0	0	Направление приливного течения
3	31523000	U	,	,	0	0	0	0	0	0	Направление отливного течения
3	31531000	U	7,11,34,	102,	0	0	0	0	0	0	Хар-ки рек, каналов, канав заполненных водой для узких и широких водотоков
3	31531000	2	7,11,34,	102,	0	0	0	0	0	0	Хар-ки рек, каналов, канав заполненных водой для узких и широких водотоков
3	31540000	U	57,	,	0	0	0	0	0	0	Указатели начала регулярного судоходства
3	31540000	2	57,	,	0	0	0	0	0	0	Указатели начала регулярного судоходства
3	31550000	U	,	,	0	0	0	0	0	0	Указатели направления склона (бергхштрихи для изобат)
3	31611000	1	,	4,9,33,	0	0	0	0	0	0	Источники оборудованные (ключи, родники)
3	31612000	U	,	4,9,33,	0	0	0	0	0	0	Источники необорудованные (ключи, родники)
3	31620000	1	,	9,33,	0	0	0	0	0	0	Гейзеры
3	31631000	1	,	9,	0	0	0	0	0	0	Артезианские колодцы
3	31632000	1	3,	4,7,9,30,33,	0	0	0	0	0	0	Колодцы с ветряным двигателем
3	31633000	1	3,	4,7,9,30,33,	0	0	0	0	0	0	Колодцы с механическим подъемом воды, бетонированные
3	31634000	1	3,	4,7,9,30,33,	0	0	0	0	0	0	Чигири
3	31635000	1	3,	4,7,9,30,33,	0	0	0	0	0	0	Колодцы прочие
3	31636000	1	3,	4,7,9,30,33,	0	0	0	0	0	0	Колодцы главные
3	31640000	1	,	4,9,30,33,	0	0	0	0	0	0	Артезианские скважины
3	31700000	2	36,	,	0	0	0	0	0	0	Береговая линия
3	32110000	2	,	2,3,9,10,11,75,76,83,102,	0	0	0	0	0	0	Плотины
3	32120000	U	27,	2,7,9,10,11,102,	0	0	0	0	0	0	Шлюзы
3	32120000	2	27,	2,7,9,10,11,102,	0	0	0	0	0	0	Шлюзы
3	32120000	3	27,	2,7,9,10,11,102,	0	0	0	0	0	0	Шлюзы
3	32121000	U	,	,	0	0	0	0	0	0	Ворота шлюзов
3	32121000	2	,	,	0	0	0	0	0	0	Ворота шлюзов
3	32130000	2	57,	1,9,102,	0	0	0	0	0	0	Дамбы и искусственные валы
3	32140000	2	,	9,	0	0	0	0	0	0	Набережные
3	32152000	2	,	,	0	0	0	0	0	0	Берега с укрепленными откосами
3	32230000	2	,	,	0	0	0	0	0	0	Молы, причалы, пирсы
3	32230000	3	,	,	0	0	0	0	0	0	Молы, причалы, пирсы
3	32240000	U	,	9,	0	0	0	0	0	0	Пристани с оборудованными причалами
3	32240000	3	,	9,	0	0	0	0	0	0	Пристани с оборудованными причалами
3	32251000	1	,	9,	0	0	0	0	0	0	Якорные стоянки
3	32252000	U	,	9,	0	0	0	0	0	0	Пристани без оборудованных причалов и остановочные пункты
3	32310000	2	35,	,	0	0	0	0	0	0	Водопроводы
3	32320000	2	,	,	0	0	0	0	0	0	Кяризы
3	32330000	U	,	,	0	0	0	0	0	0	Акведуки
3	32330000	2	,	,	0	0	0	0	0	0	Акведуки
3	32360000	1	15,	7,	0	0	0	0	0	0	Шахтные стволы на подземных каналах
3	32410000	1	,	1,9,	0	0	0	0	0	0	Маяки (береговые)
3	33111000	2	,	9,102,	0	0	0	0	0	0	Паромы железнодорожные морские
3	33111100	U	,	,	0	0	0	0	0	0	УЗ парома железнодорожного
3	33112000	2	,	9,102,	0	0	0	0	0	0	Паромы автомобильные морские
3	33112100	U	,	,	0	0	0	0	0	0	УЗ парома автомобильного
3	33113000	U	,	2,11,12,46,102,	0	0	0	0	0	0	Паромы автогужевые (паромные переправы)
3	33113000	2	,	2,11,12,46,102,	0	0	0	0	0	0	Паромы автогужевые (паромные переправы)
3	33120000	U	,	,	0	0	0	0	0	0	Перевозы
3	33120000	2	,	,	0	0	0	0	0	0	Перевозы
3	33130000	1	2,7,28,34,	102,	0	0	0	0	0	0	Броды
3	33130000	U	2,7,28,34,	102,	0	0	0	0	0	0	Броды
3	33130000	2	2,7,28,34,	102,	0	0	0	0	0	0	Броды
3	34000000	1	,	9,44,517,518,	0	0	0	0	0	0	Острова
3	34000000	3	,	9,44,517,518,	0	0	0	0	0	0	Острова
4	41100000	3	9,38,	3,6,43,	0	0	0	0	0	0	Крупные города (50000 жителей и более)
4	41110000	3	9,38,	3,6,43,	0	0	0	0	0	0	Крупные города (50000 жителей и более)
4	41111000	3	,	3,6,9,	0	0	0	0	0	0	Часть крупного города
4	41120000	U	3,9,	,	0	0	0	0	0	0	Малые города (менее 50000 жителей)
4	41120000	3	9,38,	3,6,43,	0	0	0	0	0	0	Малые города (менее 50000 жителей)
4	41121000	3	,	3,6,9,	0	0	0	0	0	0	Часть малого города
4	41200000	U	3,	9,	0	0	0	0	0	0	Поселки городского типа (ПГТ)
4	41200000	3	9,38,39,	3,6,43,	0	0	0	0	0	0	Поселки городского типа (ПГТ)
4	41210000	3	,	3,6,9,	0	0	0	0	0	0	Часть поселка городского типа
4	42100000	U	3,	9,	0	0	0	0	0	0	Поселки сельского типа
4	42100000	3	9,38,39,45,	3,6,42,43,	0	0	0	0	0	0	Поселки сельского типа
4	42110000	3	,	3,6,9,	0	0	0	0	0	0	Часть поселка сельского типа
4	42200000	U	,	3,9,	0	0	0	0	0	0	Отдельные дворы (хутора)
4	42300000	1	,	9,	0	0	0	0	0	0	Постоянные стоянки юрт, чумов и яранг
4	43100000	U	3,	9,	0	0	0	0	0	0	Поселки дачного типа
4	43100000	3	9,38,45,	3,6,	0	0	0	0	0	0	Поселки дачного типа
4	43110000	3	,	3,6,9,	0	0	0	0	0	0	Часть поселка дачного типа
4	43200000	U	3,	9,	0	0	0	0	0	0	Поселки, не отнесенные к категории ПГТ
4	43200000	3	9,38,39,45,	3,6,43,	0	0	0	0	0	0	Поселки, не отнесенные к категории ПГТ
4	43210000	3	,	3,6,9,	0	0	0	0	0	0	Часть поселка, не отнесенного к категории ПГТ
4	44100000	U	,	1,9,47,102,	0	0	0	0	0	0	Отдельные строения выдающиеся
4	44100000	2	,	1,9,47,102,	0	0	0	0	0	0	Отдельные строения выдающиеся
4	44100000	3	,	1,9,47,102,	0	0	0	0	0	0	Отдельные строения выдающиеся
4	44200000	U	16,	3,9,47,	0	0	0	0	0	0	Отдельные строения невыдающиеся
4	44200000	2	,	3,9,47,	0	0	0	0	0	0	Отдельные строения невыдающиеся
4	44200000	3	,	3,9,47,	0	0	0	0	0	0	Отдельные строения невыдающиеся
4	451100000	3	,	3,45,	0	0	0	0	0	0	Кварталы в крупных городах(> 50 тыс.)
4	451200000	3	,	3,45,	0	0	0	0	0	0	Кварталы в малых городах(< 50 тыс.)
4	451300000	3	,	3,45,	0	0	0	0	0	0	Кварталы в сельских поселениях
4	45200000	2	40,84,	9,	0	0	0	0	0	0	Улицы
4	45300000	3	,	9,	0	0	0	0	0	0	Площади
4	45400000	3	,	3,9,	0	0	0	0	0	0	Части населенного пункта
4	45510000	3	72,	9,	0	0	0	0	0	0	Районы нового жилищного строительства
4	45520000	3	72,	9,47,	0	0	0	0	0	0	Районы нового промышленного строительства
5	51111000	U	,	7,9,47,102,	0	0	0	0	0	0	Карьеры
5	51111000	3	,	7,9,47,102,	0	0	0	0	0	0	Карьеры
5	51111100	2	,	,	0	0	0	0	0	0	Бровка карьера
5	51112000	1	,	9,	0	0	0	0	0	0	Открытые соляные разработки
5	51112000	3	,	9,	0	0	0	0	0	0	Открытые соляные разработки
5	51113000	1	,	9,	0	0	0	0	0	0	Торфоразработки
5	51113000	3	,	9,	0	0	0	0	0	0	Торфоразработки
5	51121100	U	3,	1,9,47,	0	0	0	0	0	0	Шахты (предприятие)
5	51121100	2	,	1,3,9,47,	0	0	0	0	0	0	Шахты (предприятие)
5	51121100	3	72,	1,3,9,47,	0	0	0	0	0	0	Шахты (предприятие)
5	51121200	1	3,	9,	0	0	0	0	0	0	Штольни (устья)
5	51121300	1	3,	1,9,47,	0	0	0	0	0	0	Устья шахтных стволов
5	51122000	3	72,	3,9,47,	0	0	0	0	0	0	Рудники, прииски, копи
5	51123100	1	,	1,102,	0	0	0	0	0	0	Терриконы
5	51123100	3	,	1,102,	0	0	0	0	0	0	Терриконы
5	51123200	1	,	1,	0	0	0	0	0	0	Отвалы
5	51123200	3	,	1,	0	0	0	0	0	0	Отвалы
5	51125000	3	47,72,	3,9,	0	0	0	0	0	0	Нефтяные и газовые промыслы
5	51131000	1	,	1,9,47,102,	0	0	0	0	0	0	Промышленные предприятия с трубами
5	51131000	3	72,	1,9,47,102,	0	0	0	0	0	0	Промышленные предприятия с трубами
5	51132000	1	,	1,9,47,102,	0	0	0	0	0	0	Промышленные предприятия без труб
5	51132000	3	72,	1,9,47,102,	0	0	0	0	0	0	Промышленные предприятия без труб
5	51140000	1	,	1,9,47,102,	0	0	0	0	0	0	Электростанции
5	51140000	3	72,	1,9,47,102,	0	0	0	0	0	0	Электростанции
5	51151000	1	,	9,	0	0	0	0	0	0	Мельницы водяные
5	51152000	1	,	1,9,	0	0	0	0	0	0	Мельницы ветряные
5	51153100	1	,	1,9,102,	0	0	0	0	0	0	Мельницы с электроприводом с трубами
5	51153100	3	72,	1,9,102,	0	0	0	0	0	0	Мельницы с электроприводом с трубами
5	51153200	1	,	1,9,102,	0	0	0	0	0	0	Мельницы с электроприводом без труб
5	51153200	3	72,	1,9,102,	0	0	0	0	0	0	Мельницы с электроприводом без труб
5	51160000	1	,	9,	0	0	0	0	0	0	Лесопильни водяные
5	51210000	1	,	1,9,	0	0	0	0	0	0	Склады
5	51210000	U	47,	1,9,	0	0	0	0	0	0	Склады
5	51210000	2	47,	1,9,	0	0	0	0	0	0	Склады
5	51210000	3	47,72,	1,9,	0	0	0	0	0	0	Склады
5	51220000	1	,	9,	0	0	0	0	0	0	Заправочные станции, бензоколонки
5	51230000	1	,	,	0	0	0	0	0	0	Отдельные цистерны, баки и газгольдеры
5	51310000	2	35,47,49,	9,	0	0	0	0	0	0	Трубопроводы
5	51320000	2	1,	9,41,49,	0	0	0	0	0	0	Линии электропередачи
5	51330000	2	35,	9,49,	0	0	0	0	0	0	Линии связи
5	51350000	2	,	,	0	0	0	0	0	0	Дюкеры на трубопроводах
5	51410000	1	,	1,9,47,102,	0	0	0	0	0	0	Капитальные сооружения башенного типа
5	51420000	1	,	1,102,	0	0	0	0	0	0	Заводские и фабричные трубы
5	51440000	1	,	1,	0	0	0	0	0	0	Ветряные двигатели
5	51450000	U	47,	,	0	0	0	0	0	0	Станции обслуживания трубопроводов
5	51460000	1	,	1,	0	0	0	0	0	0	Электрические подстанции
5	51460000	3	72,	1,	0	0	0	0	0	0	Электрические подстанции
5	51470000	U	48,	1,	0	0	0	0	0	0	Опоры на линиях электропередачи и связи
5	51470000	1	48,	1,	0	0	0	0	0	0	Опоры на линиях электропередачи и связи
5	51480000	1	,	47,	0	0	0	0	0	0	Отстойники
5	51480000	3	72,	47,	0	0	0	0	0	0	Отстойники
5	51500000	U	47,	1,9,102,	0	0	0	0	0	0	Здания промышленного и с/х назначения
5	51500000	2	47,	1,9,102,	0	0	0	0	0	0	Здания промышленного и с/х назначения
5	51500000	3	47,	1,9,102,	0	0	0	0	0	0	Здания промышленного и с/х назначения
5	52100000	U	47,	1,9,	0	0	0	0	0	0	Сельскохозяйственные предприятия (фермы, станции, мастерские)
5	52100000	2	47,	1,9,	0	0	0	0	0	0	Сельскохозяйственные предприятия (фермы, станции, мастерские)
5	52100000	3	47,72,	1,9,	0	0	0	0	0	0	Сельскохозяйственные предприятия (фермы, станции, мастерские)
5	53110000	1	,	9,102,	0	0	0	0	0	0	Аэропорты
5	53110000	3	72,	9,102,	0	0	0	0	0	0	Аэропорты
5	53120000	1	,	9,102,	0	0	0	0	0	0	Аэродромы
5	53120000	3	72,	9,102,	0	0	0	0	0	0	Аэродромы
5	53130000	2	,	,	0	0	0	0	0	0	Взлетно-посадочные полосы
5	53130000	3	,	,	0	0	0	0	0	0	Взлетно-посадочные полосы
5	53140000	1	,	9,	0	0	0	0	0	0	Посадочные площадки на суше
5	53140000	3	72,	9,102,	0	0	0	0	0	0	Посадочные площадки на суше
5	53160000	1	,	9,	0	0	0	0	0	0	Гидроаэродромы
5	53160000	3	72,	9,102,	0	0	0	0	0	0	Гидроаэродромы
5	53170000	1	,	9,	0	0	0	0	0	0	Посадочные площадки на воде
5	53180000	1	,	,	0	0	0	0	0	0	Участки дорог, оборудованные для взлета и посадки самолетов
5	53191000	1	,	,	0	0	0	0	0	0	УЗ аэродрома (гидроаэродрома)
5	53192000	1	,	,	0	0	0	0	0	0	УЗ посадочных площадок (на суше и воде)
5	53193000	1	,	,	0	0	0	0	0	0	УЗ участка дорог, оборудованного для взлета и посадки самолетов
5	53210000	1	,	1,9,47,102,	0	0	0	0	0	0	Военные базы и объекты
5	53210000	2	,	1,9,47,102,	0	0	0	0	0	0	Военные базы и объекты
5	53210000	3	72,	1,9,47,102,	0	0	0	0	0	0	Военные базы и объекты
5	53220000	U	3,	1,9,47,102,	0	0	0	0	0	0	Крепости, форты, укрепления
5	53220000	3	3,72,	1,9,47,102,	0	0	0	0	0	0	Крепости, форты, укрепления
5	53230000	1	,	9,47,	0	0	0	0	0	0	Морские порты, гавани
5	53230000	3	72,	9,47,	0	0	0	0	0	0	Морские порты, гавани
5	53310000	1	,	1,9,102,	0	0	0	0	0	0	Радиостанции
5	53310000	3	72,	1,9,102,	0	0	0	0	0	0	Радиостанции
5	53320000	1	,	1,9,102,	0	0	0	0	0	0	Телевизионные центры
5	53320000	3	72,	1,9,102,	0	0	0	0	0	0	Телевизионные центры
5	53330000	1	,	1,9,102,	0	0	0	0	0	0	Телевизионные башни
5	53340000	1	,	1,9,102,	0	0	0	0	0	0	Мачты (радио, телевизионные, радиорелейные и радиотрансляционные)
5	53350000	1	,	9,	0	0	0	0	0	0	Метеорологические станции
5	53350000	3	72,	9,	0	0	0	0	0	0	Метеорологические станции
5	53410000	3	72,	1,9,71,	0	0	0	0	0	0	Монастыри
5	53420000	1	,	1,9,	0	0	0	0	0	0	Церкви, костелы, кирхи
5	53430000	1	,	1,9,	0	0	0	0	0	0	Мечети
5	53440000	1	,	1,9,	0	0	0	0	0	0	Буддийские храмы и пагоды
5	53511000	U	,	9,	0	0	0	0	0	0	Кладбища с густой древесной растительностью
5	53511000	3	,	9,	0	0	0	0	0	0	Кладбища с густой древесной растительностью
5	53512000	U	,	9,	0	0	0	0	0	0	Кладбища без густой древесной растительности
5	53512000	3	,	9,	0	0	0	0	0	0	Кладбища без густой древесной растительности
5	53530000	1	,	9,47,	0	0	0	0	0	0	Памятники и монументы, братские могилы
5	53540000	1	,	9,47,	0	0	0	0	0	0	Мазары, субурганы, обо
5	53600000	U	,	1,9,47,	0	0	0	0	0	0	Научно-исследовательские, учебные, медицинские и др. учреждения
5	53600000	2	,	1,9,47,	0	0	0	0	0	0	Научно-исследовательские, учебные, медицинские и др. учреждения
5	53600000	3	72,	1,9,47,	0	0	0	0	0	0	Научно-исследовательские, учебные, медицинские и др. учреждения
5	53700000	1	,	9,47,	0	0	0	0	0	0	Спортивные сооружения
5	53700000	3	72,	9,47,	0	0	0	0	0	0	Спортивные сооружения
5	54100000	1	,	7,	0	0	0	0	0	0	Шахтные стволы и штольни на туннелях
6	61111000	2	3,	9,51,54,	0	0	0	0	0	0	Железные дороги ширококолейные
6	61112000	2	3,	,	0	0	0	0	0	0	Железные дороги узкоколейные
6	61113000	2	,	9,	0	0	0	0	0	0	Железные дороги монорельсовые
6	61121000	3	72,	,	0	0	0	0	0	0	Станционные пути (контур)
6	61121100	2	,	,	0	0	0	0	0	0	Станционные пути (рельсы) главные (основные)
6	61121200	2	,	,	0	0	0	0	0	0	Станционные пути (рельсы) не основные
6	61122100	U	,	,	0	0	0	0	0	0	Тупики (концы рельсовых путей)
6	61122200	2	,	,	0	0	0	0	0	0	Подъездные пути
6	61123000	2	3,	9,51,54,90,	0	0	0	0	0	0	Линии метрополитена на поверхности
6	61124000	2	,	,	0	0	0	0	0	0	Трамвайные линии
6	61210000	2	3,	9,44,46,50,53,55,102,	0	0	0	0	0	0	Автомагистрали (автострады)
6	61220000	2	3,	9,11,44,46,50,53,55,102,	0	0	0	0	0	0	Автодороги с усовершенствованным покрытием
6	61230000	2	3,	9,11,44,46,50,53,55,102,	0	0	0	0	0	0	Автодороги с покрытием (шоссе)
6	61310000	2	3,	9,46,102,	0	0	0	0	0	0	Автодороги без покрытия
6	61320000	2	,	,	0	0	0	0	0	0	Грунтовые проселочные дороги
6	61330000	2	,	9,28,	0	0	0	0	0	0	Полевые и лесные дороги
6	61410000	2	,	9,28,31,58,	0	0	0	0	0	0	Караванные пути и вьючные тропы
6	61420000	2	,	9,31,58,	0	0	0	0	0	0	Пешеходные тропы
6	61600000	2	,	9,58,	0	0	0	0	0	0	Зимние дороги (зимники, автозимники)
6	61640000	2	,	,	0	0	0	0	0	0	Отдельные участки зимних дорог
6	61810000	2	,	1,	0	0	0	0	0	0	Подвесные дороги
6	61820000	U	84,	1,	0	0	0	0	0	0	Опорные фермы подвесных и монорельсовых дорог
6	61911000	2	,	,	0	0	0	0	0	0	Участки железных дорог со значительными уклонами (0.020 и более)
6	61912000	2	,	,	0	0	0	0	0	0	Участки автомобильных дорог с крутыми подъемом и спуском(8% и более)
6	61920000	1	,	,	0	0	0	0	0	0	Участки автомобильных дорог с малыми R поворота (менее 25 м)
6	61940000	2	84,	,	0	0	0	0	0	0	Труднопроезжие участки дорог
6	61950000	U	2,11,	,	0	0	0	0	0	0	Участки троп на искусственных карнизах (овринги)
6	61960000	U	4,31,59,	9,	0	0	0	0	0	0	Перевалы
6	61970000	U	,	,	0	0	0	0	0	0	Транспортные развязки на автомобильных дорогах
6	61970000	3	,	,	0	0	0	0	0	0	Транспортные развязки на автомобильных дорогах
6	61981000	U	,	,	0	0	0	0	0	0	Съезды с автомобильных дорог оборудованные
6	62131000	U	57,	9,	0	0	0	0	0	0	Станции всех классов
6	62132100	1	,	,	0	0	0	0	0	0	Входы на станции метрополитена
6	62133000	U	57,	9,	0	0	0	0	0	0	Остановочные и обгонные пункты
6	62134000	U	57,	9,	0	0	0	0	0	0	Платформы пассажирские
6	62136000	U	57,	9,	0	0	0	0	0	0	Разъезды
6	62230000	U	,	,	0	0	0	0	0	0	Стоянки транспорта на автомагистралях и автодорогах с усовершенствованным покрытием
6	62310000	U	97,115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Мосты
6	62310000	2	97,115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Мосты
6	62311000	2	115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Мосты на общем пролетном основании
6	62312000	2	115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Мосты на разобщенных пролетных основаниях
6	62313000	2	115,	1,2,9,10,11,12,46,49,56,87,102,	0	0	0	0	0	0	Мосты многоярусные
6	62314000	2	115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Мосты подъемные и разводные
6	62315100	U	115,	2,11,12,	0	0	0	0	0	0	Мосты наплавные
6	62315100	2	115,	2,11,12,	0	0	0	0	0	0	Мосты наплавные
6	62320000	U	97,115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Путепроводы
6	62320000	2	97,115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Путепроводы
6	62321000	2	115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Путепроводы на общем пролетном основании
6	62322000	2	115,	1,2,9,10,11,12,46,49,87,102,	0	0	0	0	0	0	Путепроводы на разобщенных пролетных основаниях
6	62330000	U	84,	1,2,9,10,11,102,	0	0	0	0	0	0	Туннели
6	62330000	2	84,	1,2,9,10,11,102,	0	0	0	0	0	0	Туннели
6	62332000	U	,	,	0	0	0	0	0	0	Выходы линий метрополитена на поверхность
6	62340000	2	84,	2,10,11,12,87,102,	0	0	0	0	0	0	Эстакады
6	62350000	2	57,84,	1,102,	0	0	0	0	0	0	Насыпи
6	62360000	2	57,84,	7,102,	0	0	0	0	0	0	Выемки
6	62380000	2	84,	102,	0	0	0	0	0	0	Галереи
